emoji,unicode,r,g,b,hex_color
"📽",128253,0,0,0,"#000000"
"🎬",127916,134,120,178,"#8678b2"
"📺",128250,131,157,183,"#839db7"
"📷",128247,138,133,148,"#8a8594"
"📸",128248,145,138,143,"#918a8f"
"📹",128249,132,121,143,"#84798f"
"📼",128252,109,92,136,"#6d5c88"
"🔍",128269,103,149,192,"#6795c0"
"🔎",128270,103,149,192,"#6795c0"
"🕯",128367,0,0,0,"#000000"
"💡",128161,243,201,113,"#f3c971"
"🔦",128294,193,175,160,"#c1afa0"
"🏮",127982,207,96,80,"#cf6050"
"🪔",129684,220,126,79,"#dc7e4f"
"📔",128212,99,82,119,"#635277"
"📕",128213,210,59,102,"#d23b66"
"📖",128214,198,214,239,"#c6d6ef"
"📗",128215,131,204,115,"#83cc73"
"📘",128216,79,180,233,"#4fb4e9"
"📙",128217,217,91,66,"#d95b42"
"📚",128218,138,162,145,"#8aa291"
"📓",128211,101,84,120,"#655478"
"📒",128210,243,210,79,"#f3d24f"
"📃",128195,222,214,230,"#ded6e6"
"📜",128220,246,189,132,"#f6bd84"
"📄",128196,224,216,234,"#e0d8ea"
"📰",128240,205,197,213,"#cdc5d5"
"🗞",128478,0,0,0,"#000000"
"📑",128209,214,202,218,"#d6cada"
"🔖",128278,244,68,90,"#f4445a"
"🏷",127991,0,0,0,"#000000"
"💰",128176,219,149,73,"#db9549"
"🪙",129689,246,175,73,"#f6af49"
"💴",128180,219,159,84,"#db9f54"
"💵",128181,73,181,88,"#49b558"
"💶",128182,90,170,183,"#5aaab7"
"💷",128183,161,122,162,"#a17aa2"
"💸",128184,99,187,113,"#63bb71"
"💳",128179,98,168,199,"#62a8c7"
"🧾",129534,210,203,220,"#d2cbdc"
"💹",128185,102,206,148,"#66ce94"
"✉",9993,0,0,0,"#000000"
"📧",128231,191,194,229,"#bfc2e5"
"📨",128232,218,215,238,"#dad7ee"
"📩",128233,227,188,216,"#e3bcd8"
"📤",128228,150,146,193,"#9692c1"
"📥",128229,148,144,191,"#9490bf"
"📦",128230,196,146,113,"#c49271"
"📫",128235,89,131,225,"#5983e1"
"📪",128234,103,134,196,"#6786c4"
"📬",128236,126,144,188,"#7e90bc"
"📭",128237,93,101,161,"#5d65a1"
"📮",128238,215,85,129,"#d75581"
"🗳",128499,0,0,0,"#000000"
"✏",9999,0,0,0,"#000000"
"✒",10002,0,0,0,"#000000"
"🖋",128395,0,0,0,"#000000"
"🖊",128394,0,0,0,"#000000"
"🖌",128396,0,0,0,"#000000"
"🖍",128397,0,0,0,"#000000"
"📝",128221,219,187,191,"#dbbbbf"
"📁",128193,254,201,86,"#fec956"
"📂",128194,255,201,84,"#ffc954"
"🗂",128450,0,0,0,"#000000"
"📅",128197,168,187,233,"#a8bbe9"
"📆",128198,178,189,217,"#b2bdd9"
"🗒",128466,0,0,0,"#000000"
"🗓",128467,0,0,0,"#000000"
"📇",128199,167,161,198,"#a7a1c6"
"📈",128200,193,193,218,"#c1c1da"
"📉",128201,211,184,206,"#d3b8ce"
"📊",128202,171,180,191,"#abb4bf"
"📋",128203,214,189,188,"#d6bdbc"
"📌",128204,215,67,109,"#d7436d"
"📍",128205,225,77,126,"#e14d7e"
"📎",128206,144,140,144,"#908c90"
"🖇",128391,0,0,0,"#000000"
"📏",128207,191,186,203,"#bfbacb"
"📐",128208,187,182,198,"#bbb6c6"
"✂",9986,0,0,0,"#000000"
"🗃",128451,0,0,0,"#000000"
"🗄",128452,0,0,0,"#000000"
"🗑",128465,0,0,0,"#000000"
"🔒",128274,228,163,97,"#e4a361"
"🔓",128275,228,163,99,"#e4a363"
"🔏",128271,204,159,123,"#cc9f7b"
"🔐",128272,219,166,123,"#dba67b"
"🔑",128273,245,184,72,"#f5b848"
"🗝",128477,0,0,0,"#000000"
"🔨",128296,164,134,155,"#a4869b"
"🪓",129683,184,86,114,"#b85672"
"⛏",9935,0,0,0,"#000000"
"⚒",9874,0,0,0,"#000000"
"🛠",128736,0,0,0,"#000000"
"🗡",128481,0,0,0,"#000000"
"⚔",9876,0,0,0,"#000000"
"💣",128163,88,42,97,"#582a61"
"🪃",129667,223,132,92,"#df845c"
"🏹",127993,173,137,135,"#ad8987"
"🛡",128737,0,0,0,"#000000"
"🪚",129690,171,151,162,"#ab97a2"
"🪛",129691,228,89,143,"#e4598f"
"🔩",128297,156,148,165,"#9c94a5"
"⚙",9881,0,0,0,"#000000"
"🗜",128476,0,0,0,"#000000"
"🔗",128279,197,186,205,"#c5bacd"
"⛓",9939,0,0,0,"#000000"
"🪝",129693,253,190,66,"#fdbe42"
"🧰",129520,228,71,121,"#e44779"
"🧲",129522,229,89,130,"#e55982"
"🪜",129692,127,77,67,"#7f4d43"
"⚗",9879,0,0,0,"#000000"
"🧪",129514,177,227,166,"#b1e3a6"
"🧫",129515,159,207,233,"#9fcfe9"
"🧬",129516,149,112,181,"#9570b5"
"🔭",128301,130,115,171,"#8273ab"
"📡",128225,180,177,203,"#b4b1cb"
"💉",128137,161,183,227,"#a1b7e3"
"🩸",129656,243,55,118,"#f33776"
"💊",128138,236,101,101,"#ec6565"
"🩼",129660,148,136,176,"#9488b0"
"🩺",129658,80,91,184,"#505bb8"
"🩻",129659,96,107,141,"#606b8d"
"🚪",128682,204,136,97,"#cc8861"
"🛗",128727,116,170,241,"#74aaf1"
"🪞",129694,211,216,169,"#d3d8a9"
"🪟",129695,163,203,231,"#a3cbe7"
"🛏",128719,0,0,0,"#000000"
"🛋",128715,0,0,0,"#000000"
"🪑",129681,138,78,77,"#8a4e4d"
"🚽",128701,203,187,221,"#cbbbdd"
"🪠",129696,241,111,127,"#f16f7f"
"🚿",128703,164,175,207,"#a4afcf"
"🛁",128705,180,189,207,"#b4bdcf"
"🪤",129700,200,150,100,"#c89664"
"🪒",129682,87,148,221,"#5794dd"
"🧴",129524,241,187,196,"#f1bbc4"
"🧷",129527,201,191,214,"#c9bfd6"
"🧹",129529,200,118,91,"#c8765b"
"🧺",129530,205,146,91,"#cd925b"
"🧻",129531,210,205,211,"#d2cdd3"
"🪣",129699,78,158,223,"#4e9edf"
"🧼",129532,244,145,214,"#f491d6"
"🫧",129767,209,182,229,"#d1b6e5"
"🪥",129701,237,80,134,"#ed5086"
"🧽",129533,245,164,91,"#f5a45b"
"🧯",129519,204,90,128,"#cc5a80"
"🛒",128722,168,167,181,"#a8a7b5"
"🚬",128684,200,181,157,"#c8b59d"
"⚰",9904,0,0,0,"#000000"
"🪦",129702,172,183,175,"#acb7af"
"⚱",9905,0,0,0,"#000000"
"🧿",129535,111,144,217,"#6f90d9"
"🪬",129708,98,167,248,"#62a7f8"
"🗿",128511,159,156,164,"#9f9ca4"
"🪧",129703,210,189,191,"#d2bdbf"
"🪪",129706,92,174,214,"#5caed6"
"🏧",127975,97,164,240,"#61a4f0"
"🚮",128686,115,173,243,"#73adf3"
"🚰",128688,113,172,243,"#71acf3"
"♿",9855,108,170,243,"#6caaf3"
"🚹",128697,111,171,243,"#6fabf3"
"🚺",128698,154,119,225,"#9a77e1"
"🚻",128699,129,180,244,"#81b4f4"
"🚼",128700,115,173,243,"#73adf3"
